站点名称,街道地址,城市,州,邮编,站点状态代码,公共可达性分组,开放时间说明,二级充电桩数量,直流快充数量,充电网络,纬度,经度,最近确认日期,开放日期,连接器类型,访问代码,受限访问,EV价格说明
Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Commerce City,CO,80022,E,Public,24 hours daily; pay lot,9,1,Non-Networked,39.843886,-104.771138,2024-01-09,2010-10-19,CHADEMO J1772 NEMA515,public,false,Free
New Belgium Brewing,500 Linden St,Fort Collins,CO,80524,E,Public - Call ahead,11am-8pm daily; for customer use only,4,,Non-Networked,40.593417,-105.0684,2025-11-13,2011-12-01,J1772,public,true,Free
City of Boulder - Municipal Service Center,5050 Pearl St,Boulder,CO,80301,E,Private,24 hours daily; employee use only,1,,Non-Networked,40.024578,-105.232194,2022-01-10,2013-02-01,J1772 NEMA520,private,,
City of Boulder - Park Central Building,1739 Broadway,Boulder,CO,80302,E,Private,Drivers must bring their own J1772 cordset for Level 1 charging,1,,Non-Networked,40.0148,-105.2792,2022-01-10,2018-03-01,J1772 NEMA520,private,,
Tremont Street Garage,400 15th St,Denver,CO,80202,E,Public,Garage business hours; pay lot,2,,Non-Networked,39.742113,-104.991416,2024-11-06,2011-02-28,J1772,public,false,Free
Tynan's Nissan,780 S Havana St,Aurora,CO,80012,E,Public - Call ahead,Dealership business hours,2,1,Non-Networked,39.70234,-104.86539,2024-02-12,2012-01-31,CHADEMO J1772 J1772COMBO,public,false,Free
Tynan's Nissan,780 S Havana St,Aurora,CO,80012,E,Private,,1,,Non-Networked,39.70234,-104.86539,2024-02-12,2012-01-31,J1772,private,,Free
Boulder Nissan,2285 28th St,Boulder,CO,80301,E,Private,Dealership business hours,3,1,Non-Networked,40.025141,-105.258906,2026-01-13,2012-06-05,CHADEMO J1772 J1772COMBO,private,,
Larry H Miller Nissan - Arapahoe,10030 E Arapahoe Rd,Centennial,CO,80112,E,Public,Dealership business hours,1,1,Non-Networked,39.59455,-104.872211,2026-01-13,2015-03-13,CHADEMO J1772 J1772COMBO,public,true,Free
Larry H Miller Nissan - Arapahoe,10030 E Arapahoe Rd,Centennial,CO,80112,E,Private,,1,,Non-Networked,39.59455,-104.872211,2026-01-13,2012-01-31,J1772,private,,Free
South Colorado Springs Nissan,1333 S Academy Blvd,Colorado Springs,CO,80916,E,Private,,1,,Non-Networked,38.812294,-104.756819,2026-01-13,2012-01-31,J1772,private,,Free
Woodmen Nissan,6840 Vincent Dr,Colorado Springs,CO,80918,E,Public - Call ahead,Dealership business hours,1,1,Non-Networked,38.93113,-104.81125,2024-02-12,2012-01-31,CHADEMO J1772 J1772COMBO,public,false,Free
Woodmen Nissan,6840 Vincent Dr,Colorado Springs,CO,80918,E,Private,,1,,Non-Networked,38.93113,-104.81125,2024-02-12,2012-01-31,J1772,private,,Free
Nissan of Durango,20704 Highway 160,Durango,CO,81303,E,Public - Call ahead,Dealership business hours,1,,Non-Networked,37.269708,-107.907728,2024-02-12,2012-01-31,J1772,public,false,Free
Nissan of Durango,20704 Highway 160,Durango,CO,81303,E,Private,,1,,Non-Networked,37.269708,-107.907728,2024-02-12,2012-01-31,J1772,private,,Free
Greeley Nissan,2625 35th Ave,Greeley,CO,80634,E,Public,24 hours daily,2,1,Non-Networked,40.394632,-104.736082,2026-01-13,2014-09-29,CHADEMO J1772 J1772COMBO,public,true,
Empire Lakewood Nissan,14707 W Colfax Ave,Lakewood,CO,80401,E,Private,,1,,Non-Networked,39.733046,-105.163697,2026-01-13,2012-01-31,J1772,private,,Free
Empire Littleton Nissan,5067 S Wadsworth Blvd,Littleton,CO,80123,E,Public,Dealership business hours,,1,IN_CHARGE,39.627559483,-105.092055202,2026-01-13,2023-07-13,CHADEMO J1772COMBO,public,true,
Empire Littleton Nissan,5067 S Wadsworth Blvd,Littleton,CO,80123,E,Private,,1,1,Non-Networked,39.627559483,-105.092055202,2026-01-13,2012-01-31,CHADEMO J1772 J1772COMBO,private,,Free
Valley Nissan,1005 Ken Pratt Blvd,Longmont,CO,80501,E,Private,,1,,Non-Networked,40.152003,-105.108652,2026-01-13,2012-01-31,J1772,private,,Free
Dave Solon Nissan,2525 W US Highway 50,Pueblo,CO,81008,E,Public - Call ahead,Dealership business hours,1,1,Non-Networked,38.311741,-104.641029,2026-01-13,2012-01-31,CHADEMO J1772 J1772COMBO,public,false,Free
Tynan's Nissan,5811 S College Ave,Fort Collins,CO,80525,E,Private,,1,,Non-Networked,40.505679,-105.078143,2026-01-13,2012-01-15,J1772,private,,Free
Red Rock Nissan,2582 Highway 6 and 50,Grand Junction,CO,81501,E,Public - Call ahead,Dealership business hours,1,,Non-Networked,39.074359,-108.572597,2024-02-12,2012-10-25,J1772,public,false,Free
Red Rock Nissan,2582 Highway 6 and 50,Grand Junction,CO,81501,E,Private,,1,,Non-Networked,39.074359,-108.572597,2024-02-12,2012-10-25,J1772,private,,Free
City of Denver - Cultural Center Complex Garage,65 W 12th Ave,Denver,CO,80204,E,Public,Garage business hours; pay lot,3,,Non-Networked,39.735935,-104.988403,2024-12-10,2012-12-01,J1772,public,false,Free
City of Denver - Denver Performing Arts Center Garage,1055 13th St,Denver,CO,80204,E,Public,24 hours daily; pay lot,4,,Non-Networked,39.743919,-104.998075,2024-12-10,2012-12-01,J1772,public,false,Free
