Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Denver International Airport - Canopy Airport Parking,8100 Tower Rd,Located in the indoor valet and covered self-parking,Commerce City,CO,80022,,303-574-9800,E,,Public,24 hours daily; pay lot,,,,,18,9,1,,Non-Networked,,GPS,39.843886,-104.771138,2024-01-09,38522,2024-01-31 22:07:01 UTC,P,,,2010-10-19,,,,,CHADEMO J1772 NEMA515,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,New Belgium Brewing,500 Linden St,,Fort Collins,CO,80524,,970-221-0524,E,,Public - Call ahead,11am-8pm daily; for customer use only,,,,,,4,,,Non-Networked,,200-9,40.593417,-105.0684,2025-11-13,42529,2026-02-02 23:16:24 UTC,P,,,2011-12-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,BREWERY_DISTILLERY_WINERY,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,City of Boulder - Municipal Service Center,5050 Pearl St,,Boulder,CO,80301,,,E,,Private,24 hours daily; employee use only,,,,,1,1,,,Non-Networked,,200-9,40.024578,-105.232194,2022-01-10,42542,2023-02-15 22:45:41 UTC,LG,,,2013-02-01,,,,,J1772 NEMA520,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,SOLAR,,,,,,,,,LD,false,
ELEC,City of Boulder - Park Central Building,1739 Broadway,,Boulder,CO,80302,,,E,,Private,Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2,1,,,Non-Networked,,GPS,40.0148,-105.2792,2022-01-10,42543,2023-02-15 22:45:41 UTC,LG,,,2018-03-01,,,,,J1772 NEMA520,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,SOLAR,,,,,,,,,LD,false,
ELEC,Tremont Street Garage,400 15th St,,Denver,CO,80202,,303-534-7559,E,,Public,Garage business hours; pay lot,,,,,,2,,,Non-Networked,,200-9,39.742113,-104.991416,2024-11-06,43833,2025-02-12 00:16:32 UTC,P,,,2011-02-28,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Tynan's Nissan,780 S Havana St,,Aurora,CO,80012,,303-341-7330,E,,Public - Call ahead,Dealership business hours,,,,,,2,1,,Non-Networked,,200-8,39.70234,-104.86539,2024-02-12,46520,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Tynan's Nissan,780 S Havana St,,Aurora,CO,80012,,303-341-7330,E,,Private,,,,,,,1,,,Non-Networked,,200-8,39.70234,-104.86539,2024-02-12,46521,2025-02-12 00:16:32 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Boulder Nissan,2285 28th St,,Boulder,CO,80301,,303-443-8110,E,,Private,Dealership business hours,,,,,,3,1,,Non-Networked,,GPS,40.025141,-105.258906,2026-01-13,46522,2026-02-02 23:16:24 UTC,P,,,2012-06-05,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Larry H Miller Nissan - Arapahoe,10030 E Arapahoe Rd,,Centennial,CO,80112,,303-790-7333  855-900-7584,E,,Public,Dealership business hours,,,,,,1,1,,Non-Networked,,GPS,39.59455,-104.872211,2026-01-13,46524,2026-02-02 23:16:24 UTC,P,,,2015-03-13,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Larry H Miller Nissan - Arapahoe,10030 E Arapahoe Rd,,Centennial,CO,80112,,303-790-7333  855-900-7584,E,,Private,,,,,,,1,,,Non-Networked,,GPS,39.59455,-104.872211,2026-01-13,46525,2026-02-02 23:16:24 UTC,P,,,2012-01-31,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,,,,,,,,,LD,false,
