波次,交付窗口,SKU编码,SKU名称,渠道,预测数量,已确认数量,待定金数量,数量单位,每单位折算盒数,近三期预测MAPE百分比,近三期取消率百分比,现货成品盒数,积压订单盒数,预测版本,刷新时间,数据责任人,备注
W1,2026-08-24至2026-08-30,MC01,流心奶黄,直营网点,2800,1900,0,盒,1,16.8,2.6,620,0,FV0718,2026-07-18 09:10,周宁,门店按盒提报
W1,2026-08-24至2026-08-30,MC01,流心奶黄,电商预售,5200,3600,0,盒,1,18.4,4.8,620,140,FV0718,2026-07-18 09:15,林可,含7月20日直播预热系数
W1,2026-08-24至2026-08-30,MC01,流心奶黄,企业团购,560,420,80,套,8,11.2,1.5,620,0,FV0717,2026-07-17 17:00,陈拓,团购系统以礼盒套数记录
W1,2026-08-24至2026-08-30,WF02,低糖五仁,直营网点,2100,1480,0,盒,1,14.6,2.1,410,0,FV0718,2026-07-18 09:10,周宁,华东南区门店需求上调
W1,2026-08-24至2026-08-30,WF02,低糖五仁,电商预售,3100,2050,0,盒,1,22.5,5.6,410,80,FV0718,2026-07-18 09:15,林可,搜索投放预算尚未冻结
W1,2026-08-24至2026-08-30,WF02,低糖五仁,企业团购,380,260,50,套,6,13.9,1.2,410,0,FV0717,2026-07-17 17:00,陈拓,六盒装礼盒
W1,2026-08-24至2026-08-30,DL03,双黄莲蓉,直营网点,2400,1720,0,盒,1,12.7,1.8,560,60,FV0718,2026-07-18 09:10,周宁,门店陈列量计入预测
W1,2026-08-24至2026-08-30,DL03,双黄莲蓉,电商预售,3600,2480,0,盒,1,17.1,3.9,560,0,FV0718,2026-07-18 09:15,林可,老客券预计拉动百分之八
W1,2026-08-24至2026-08-30,DL03,双黄莲蓉,企业团购,470,350,40,套,8,9.8,1.0,560,0,FV0717,2026-07-17 17:00,陈拓,八盒装礼盒
W1,2026-08-24至2026-08-30,TJ04,茶香桃山,直营网点,1500,890,0,盒,1,24.2,3.4,300,0,FV0718,2026-07-18 09:10,周宁,新品首轮铺货
W1,2026-08-24至2026-08-30,TJ04,茶香桃山,电商预售,2400,1280,0,盒,1,31.6,6.8,300,120,FV0718,2026-07-18 09:15,林可,新品缺少同期基准
W1,2026-08-24至2026-08-30,TJ04,茶香桃山,企业团购,260,140,40,套,6,28.4,2.5,300,0,FV0717,2026-07-17 17:00,陈拓,客户试吃后仍可调整
W2,2026-08-31至2026-09-06,MC01,流心奶黄,直营网点,4100,2760,0,盒,1,16.8,2.6,0,90,FV0718,2026-07-18 09:10,周宁,节前客流系数一点二
W2,2026-08-31至2026-09-06,MC01,流心奶黄,电商预售,7800,4980,0,盒,1,18.4,4.8,0,260,FV0718,2026-07-18 09:15,林可,两场直播排期已确认
W2,2026-08-31至2026-09-06,MC01,流心奶黄,企业团购,920,610,180,套,8,11.2,1.5,0,0,FV0717,2026-07-17 17:00,陈拓,其中一百八十套待定金
W2,2026-08-31至2026-09-06,WF02,低糖五仁,直营网点,3300,2150,0,盒,1,14.6,2.1,0,0,FV0718,2026-07-18 09:10,周宁,社区门店占比上升
W2,2026-08-31至2026-09-06,WF02,低糖五仁,电商预售,4600,2810,0,盒,1,22.5,5.6,0,100,FV0718,2026-07-18 09:15,林可,低糖标签页资源待确认
W2,2026-08-31至2026-09-06,WF02,低糖五仁,企业团购,640,390,110,套,6,13.9,1.2,0,0,FV0717,2026-07-17 17:00,陈拓,六盒装礼盒
W2,2026-08-31至2026-09-06,DL03,双黄莲蓉,直营网点,3700,2520,0,盒,1,12.7,1.8,0,0,FV0718,2026-07-18 09:10,周宁,重点商圈门店追加陈列
W2,2026-08-31至2026-09-06,DL03,双黄莲蓉,电商预售,5100,3440,0,盒,1,17.1,3.9,0,140,FV0718,2026-07-18 09:15,林可,会员日流量计入预测
